Names,Rates,Prices,category_name,url
It's Only the Himalayas,2,45.17,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Full Moon over Noah’s ...,4,49.43,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
See America: A Celebration ...,3,48.87,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Vagabonding: An Uncommon Guide ...,2,36.94,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Under the Tuscan Sun,3,37.33,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
A Summer In Europe,2,44.34,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
The Great Railway Bazaar,1,30.54,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
A Year in Provence ...,4,56.88,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
The Road to Little ...,1,23.21,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Neither Here nor There: ...,3,38.95,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
"1,000 Places to See ...",5,26.08,Travel,http://books.toscrape.com/catalogue/category/books/travel_2/index.html
Names,Rates,Prices,category_name,url
Sharp Objects,4,47.82,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
"In a Dark, Dark ...",1,19.63,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Past Never Ends,4,56.5,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Murder in Time,1,16.64,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Murder of Roger ...,4,44.1,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Last Mile (Amos ...,2,54.21,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
That Darkness (Gardiner and ...,1,13.92,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Tastes Like Fear (DI ...,1,10.69,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Time of Torment ...,5,48.35,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
A Study in Scarlet ...,2,16.73,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Poisonous (Max Revere Novels ...,3,26.8,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Murder at the 42nd ...,4,54.36,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Most Wanted,3,35.28,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Hide Away (Eve Duncan ...,1,11.84,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Boar Island (Anna Pigeon ...,3,59.48,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Widow,2,27.26,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Playing with Fire,3,13.71,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
What Happened on Beale ...,5,25.37,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
The Bachelor Girl's Guide ...,5,52.3,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Delivering the Truth (Quaker ...,4,20.89,Mystery,http://books.toscrape.com/catalogue/category/books/mystery_3/index.html
Names,Rates,Prices,category_name,url
Tipping the Velvet,1,53.74,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Forever and Forever: The ...,3,29.69,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
A Flight of Arrows ...,5,55.53,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The House by the ...,1,36.95,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Mrs. Houdini,5,30.25,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Marriage of Opposites,4,28.08,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Glory over Everything: Beyond ...,3,45.84,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
"Love, Lies and Spies",2,20.55,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
A Paris Apartment,4,39.01,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Lilac Girls,2,17.28,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Constant Princess (The ...,3,16.62,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Invention of Wings,1,37.34,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
World Without End (The ...,4,32.97,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Passion of Dolssa,5,28.32,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Girl With a Pearl ...,1,26.77,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Voyager (Outlander #3),5,21.07,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Red Tent,5,35.66,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Last Painting of ...,2,55.55,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
The Guernsey Literary and ...,1,49.53,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Girl in the Blue ...,2,46.83,Historical Fiction,http://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
Names,Rates,Prices,category_name,url
Scott Pilgrim's Precious Little ...,5,52.29,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Tsubasa: WoRLD CHRoNiCLE 2 ...,1,16.28,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
This One Summer,4,19.49,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
The Nameless City (The ...,4,38.16,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Saga, Volume 5 (Saga ...",2,51.04,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Rat Queens, Vol. 3: ...",3,50.4,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Princess Jellyfish 2-in-1 Omnibus, ...",5,13.61,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Pop Gun War, Volume ...",1,18.97,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Patience,3,10.16,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Outcast, Vol. 1: A ...",4,15.44,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
orange: The Complete Collection ...,1,48.41,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Lumberjanes, Vol. 2: Friendship ...",2,46.91,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Lumberjanes, Vol. 1: Beware ...",3,45.61,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Lumberjanes Vol. 3: A ...,2,19.92,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"I Hate Fairyland, Vol. ...",2,29.17,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
I am a Hero ...,3,54.63,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Giant Days, Vol. 2 ...",2,22.11,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Danganronpa Volume 1,4,51.99,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
"Codename Baboushka, Volume 1: ...",4,36.72,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Camp Midnight,4,17.08,Sequential Art,http://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
Names,Rates,Prices,category_name,url
The Secret Garden,4,15.08,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Metamorphosis,1,28.58,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Pilgrim's Progress,2,50.26,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Hound of the ...,2,14.82,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Little Women (Little Women ...,4,28.07,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Gone with the Wind,3,32.49,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Candide,3,58.63,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Animal Farm,3,57.22,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Wuthering Heights,3,17.73,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Picture of Dorian ...,2,29.7,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
The Complete Stories and ...,4,26.78,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
Beowulf,2,38.35,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
And Then There Were ...,2,35.01,Classics,http://books.toscrape.com/catalogue/category/books/classics_6/index.html
